place_id,reviewTags,count
202,riding,1
202,snow,1
202,wear,1
202,weather,1
202,words,1
203,clouds,1
203,energy drinks,1
203,moderate,1
203,moon,1
203,nice trek,1
203,rain coat,1
203,snow line,1
203,tents,1
203,the hill,1
203,warm clothes,1
204,0,4
204,camping,1
204,experience,1
204,forest,1
204,journey,1
204,night,1
204,snow,1
205,0,4
205,beauty,1
205,gem,1
205,peaceful,1
205,walk,1
205,water bottle,1
205,waterfalls,1
206,air,1
206,bear,1
206,feb,1
206,jungle,1
206,leopard,1
206,lush,1
206,mind,1
206,peaceful,1
206,pine,1
206,snow,1
207,17th century,1
207,apple,1
207,fort,1
207,hike,1
207,structure,1
207,tower,1
207,trek,1
207,valley,1
207,village,1
207,wood,1
208,beauty,1
208,camping,1
208,feel,1
208,nature,1
208,peaceful,1
208,religious,1
208,rishi,1
208,season,1
208,snow,1
208,trek,1
209,adventurous,1
209,camping,1
209,caves,1
209,experience,1
209,glacier,1
209,night,1
209,shelter,1
209,sleeping bag,1
209,snow line,1
209,wood,1
210,0,2
210,11th century,1
210,lake,1
210,monastery,1
210,names,1
210,peaceful,1
210,structures,1
210,village,1
210,walls,1
211,airport,1
211,altitude,1
211,butter,1
211,camping,1
211,holi,1
211,lightning,1
211,march,1
211,snow,1
211,trek,1
211,valley,1
212,adventure,1
212,beautiful,1
212,day,1
212,house,1
212,sanctuary,1
212,snow,1
212,sunset,1
212,trek,1
212,vehicle,1
212,weather,1
213,0,2
213,area,1
213,building,1
213,experience,1
213,google,1
213,learn,1
213,photos,1
213,room,1
213,tourist,1
214,1908,1
214,ancient,1
214,artifacts,1
214,coins,1
214,cultural history,1
214,heritage,1
214,miniature art,1
214,ruler,1
214,traditional,1
214,weapons,1
215,architecture,1
215,beautiful,1
215,dalai lama,1
215,feel,1
215,market,1
215,meditation,1
215,parking,1
215,peaceful,1
215,prayer,1
215,wheel,1
216,animals,1
216,beautiful,1
216,cycle,1
216,forest,1
216,peace,1
216,pine,1
216,rent,1
216,trek,1
216,valley,1
216,walk,1
217,aquarium,1
217,beautiful,1
217,boating,1
217,bridge,1
217,cafeteria,1
217,memory,1
217,range,1
217,snow,1
217,statue,1
217,war,1
218,adventurous,1
218,altitude,1
218,beautiful,1
218,clouds,1
218,driving,1
